path,lines,selected_reason,remote_flow_lines,debt_check_lines,write_flow_lines
access_control.py,400,priority_file,0,0,1
audit_osbb_telegram_messages.py,201,remote_text_match,0,0,0
billing_reconciliation_report.py,396,remote_text_match,0,8,0
billing_statement_excel.py,551,remote_text_match,0,9,0
Bots/data_park_bot.py,155,remote_text_match,0,0,0
Bots/db_access.py,6012,remote_text_match,0,0,48
Bots/handlers/agreement.py,542,remote_text_match,0,0,0
Bots/handlers/cashier_operator.py,2427,remote_text_match,0,33,8
Bots/handlers/cashier_operator_v2.py,1098,remote_text_match,0,12,3
Bots/handlers/client_portal.py,2184,remote_text_match,14,21,9
Bots/handlers/client_portal_safe_linking.py,2184,remote_text_match,14,21,9
Bots/handlers/client_portal_v2.py,666,remote_text_match,0,3,0
Bots/handlers/client_portal_v3.py,97,priority_file,2,0,0
Bots/handlers/commercial_contract_editor.py,1582,remote_text_match,0,33,20
Bots/handlers/guard_workspace.py,1151,priority_file,20,2,6
Bots/handlers/profile_parking_time_test_workspace.py,365,remote_text_match,1,0,1
Bots/handlers/profile_verification_workspace.py,768,remote_text_match,1,0,9
Bots/handlers/service_orders_workspace.py,1743,priority_file,44,19,16
Bots/handlers/unit_registry_editor.py,1077,remote_text_match,0,0,7
Bots/hello.py,72,remote_text_match,0,0,0
Bots/parking_bot.py,1359,remote_text_match,0,1,0
cashier_journal.py,1731,remote_text_match,0,15,9
cashier_v2_core.py,1556,remote_text_match,0,22,5
CHECK_guard_sandbox_service_orders.py,493,remote_text_match,13,0,0
CHECK_guard_sandbox_service_orders_v2.py,471,remote_text_match,14,0,0
CHECK_phone_barrier_access_operational_sandbox.py,77,remote_text_match,0,1,0
CHECK_phone_barrier_access_sandbox_schema.py,129,remote_text_match,0,1,0
CHECK_profile_verification_terminology_v2.py,57,remote_text_match,1,0,0
CHECK_service_code_compatibility_phone_v2.py,122,remote_text_match,3,1,0
Collect_sheets.py,143,remote_text_match,0,0,0
Collect_sheets1.py,169,remote_text_match,0,0,0
commercial_contracts.py,1312,remote_text_match,0,107,6
create_clean_live_sandbox.py,460,remote_text_match,3,0,5
create_isolated_live_sandbox_v2.py,458,remote_text_match,3,1,5
CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER.py,175,remote_text_match,3,3,2
extract_telegram_remote_facts.py,270,remote_text_match,0,0,4
extract_telegram_vehicle_facts.py,415,remote_text_match,0,0,4
FIND_actual_service_order_state.py,436,remote_text_match,17,0,0
FIX_live_services_sandbox_payment_schema.py,348,remote_text_match,15,0,3
fix_source_ref_schema.py,310,remote_text_match,2,0,1
Generate_Stetement.py,77,remote_text_match,0,0,0
import_house_registry.py,166,remote_text_match,0,0,2
import_ohorona_sheet1_payments.py,800,remote_text_match,0,1,2
import_ohorona_to_cashbox.py,977,remote_text_match,0,2,1
import_tbot_quarantine.py,150,remote_text_match,0,0,5
init_osbb_telegram_db.py,133,remote_text_match,0,0,1
manage_staff_access.py,450,remote_text_match,1,0,8
manage_staff_access_v2.py,450,remote_text_match,1,0,8
parking_billing_statement.py,475,remote_text_match,0,14,0
phone_barrier_access_core.py,2163,remote_text_match,1,51,18
phone_barrier_access_service.py,208,remote_text_match,3,5,4
plate_consensus_report.py,705,remote_text_match,0,0,0
plate_consensus_report_v3.py,635,remote_text_match,0,0,0
profile_parking_time_test_core.py,828,remote_text_match,0,0,6
profile_verification_core.py,1557,remote_text_match,0,21,17
reset_service_catalog.py,628,remote_text_match,0,6,7
RETIRE_legacy_new_remote_test_orders_sandbox.py,118,remote_text_match,3,2,5
run_bot_guard_sandbox.py,236,remote_text_match,1,0,0
run_bot_guard_sandbox_v2.py,236,remote_text_match,1,0,0
run_bot_guard_sandbox_v3.py,236,priority_file,1,0,0
run_bot_live_service_sandbox_v4.py,250,remote_text_match,7,0,0
run_bot_live_services_sandbox_v1.py,919,remote_text_match,21,0,4
run_bot_sandbox_v2.py,286,remote_text_match,0,1,0
service_catalog_admin_core.py,571,remote_text_match,1,0,13
service_orders_core.py,1409,priority_file,16,12,23
service_preorders_core.py,1155,priority_file,41,15,27
test.py,1,remote_text_match,0,0,0
test_db_access_unit_resolver.py,82,remote_text_match,0,0,0
tools/cashier_parking_payments_audit_v4.py,616,remote_text_match,0,21,0
tools/cashier_unpaid_preview.py,203,remote_text_match,0,9,0
tools/cashier_unpaid_preview_v2.py,260,remote_text_match,0,19,0
tools/cashier_unpaid_preview_v3.py,580,remote_text_match,0,51,0
tools/project_code_search.py,154,remote_text_match,1,0,0
tools/project_passport.py,613,remote_text_match,4,8,0
tools/project_passport_v2.py,658,remote_text_match,4,7,0
tools/project_passport_v3_classifier.py,631,remote_text_match,3,0,0
tools/project_passport_v4_runtime_schema_audit.py,716,remote_text_match,11,29,2
tools/remote_debt_gate_audit.py,538,remote_text_match,29,66,4
vehicle_verification_tasks.py,596,remote_text_match,0,0,0
