service_code,table_rows,code_refs,files
BARRIER_PHONE,1,46,"OSBB_Service_Orders_Foundation_v1/migrate_service_orders_and_fulfillment.py, cashier_journal.py, migrate_service_items.py, migrate_service_orders_and_fulfillment.py, reset_service_catalog.py, tools/cashier_parking_payments_audit_v4.py, tools/cashier_unpaid_preview.py, tools/cashier_unpaid_preview_v2.py, tools/cashier_unpaid_preview_v3.py, tools/project_passport.py, tools/project_passport_v2.py, tools/project_passport_v4_runtime_schema_audit.py"
BARRIER_PHONE_CONNECT,1,15,"OSBB_Service_Orders_Foundation_v1/migrate_service_orders_and_fulfillment.py, cashier_journal.py, migrate_service_orders_and_fulfillment.py, reset_service_catalog.py"
BARRIER_REPAIR,1,14,"cashier_journal.py, import_ohorona_to_cashbox.py, migrate_service_items.py, reset_service_catalog.py"
COMMERCIAL_CONTRACT,1,249,"Bots/handlers/commercial_contract_editor.py, Bots/handlers/unit_registry_editor - Copy.py, Bots/handlers/unit_registry_editor.py, commercial_contracts.py, commercial_notification_delivery.py, migrate_commercial_contract_core.py, tools/project_passport.py, tools/project_passport_v2.py, tools/project_passport_v4_runtime_schema_audit.py"
GUEST_PARKING,1,5,"cashier_journal.py, migrate_service_items.py, reset_service_catalog.py"
HISTORICAL_UNCLASSIFIED,1,4,"cashier_journal.py, import_ohorona_to_cashbox.py"
IMPROVEMENT,1,61,"Bots/data_park_bot.py, Bots/handlers/client_portal.py, Bots/handlers/client_portal_safe_linking.py, Bots/parking_bot - Copy.py, Bots/parking_bot.py, Bots/parking_bot_before_cashier_editor_2026-06-25_14-45-08.py, Bots/parking_bot_before_client_portal_2026-06-25_10-25-49.py, Bots/parking_bot_before_language_gate_fix_2026-06-25_10-45-39.py, Bots/parking_bot_before_launch_queues_menu_2026-06-25_12-21-29.py, billing_reconciliation_report.py, billing_statement_excel.py, cashier_journal.py, import_ohorona_sheet1_payments.py, import_ohorona_to_cashbox.py, migrate_service_items.py, parking_billing_statement.py, reset_service_catalog.py"
PARKING_DAY,1,65,"Bots/db_access - Copy.py, Bots/db_access.py, Bots/handlers/cashier_operator.py, Bots/handlers/client_portal.py, Bots/handlers/client_portal_safe_linking.py, billing_reconciliation_report.py, billing_statement_excel.py, cashier_journal.py, generate_parking_charges.py, import_ohorona_list1_to_central_cashbox.py, import_ohorona_sheet1_payments.py, import_ohorona_to_cashbox.py, migrate_billing_core.py, migrate_service_items.py, parking_billing_statement.py, patch_cashier_v2_core_schemafix.py, reset_service_catalog.py, seed_parking_tariffs.py, tools/MIGRATE_debt_policy_rules_v1.py, tools/cashier_parking_payments_audit_v4.py ..."
PARKING_EQUIPMENT,1,6,"cashier_journal.py, migrate_service_items.py, reset_service_catalog.py"
PARKING_NIGHT,1,60,"Bots/db_access - Copy.py, Bots/db_access.py, Bots/handlers/cashier_operator.py, Bots/handlers/client_portal.py, Bots/handlers/client_portal_safe_linking.py, billing_reconciliation_report.py, billing_statement_excel.py, cashier_journal.py, generate_parking_charges.py, import_ohorona_list1_to_central_cashbox.py, import_ohorona_sheet1_payments.py, import_ohorona_to_cashbox.py, migrate_billing_core.py, migrate_service_items.py, parking_billing_statement.py, reset_service_catalog.py, seed_parking_tariffs.py, tools/MIGRATE_debt_policy_rules_v1.py, tools/cashier_parking_payments_audit_v4.py, tools/cashier_unpaid_preview.py ..."
PARK_PLACE_RENT,1,4,"cashier_journal.py, migrate_service_items.py, reset_service_catalog.py"
PARK_PLACE_SALE,1,4,"cashier_journal.py, migrate_service_items.py, reset_service_catalog.py"
TEST_PHONE_ACCESS_CONNECT,1,2,prepare_live_service_test.py
TEST_REMOTE_NEW,1,2,prepare_live_service_test.py
TEST_REMOTE_REFURBISHED,1,2,prepare_live_service_test.py
TEST_REMOTE_REPROGRAM_OWN,1,2,prepare_live_service_test.py
