service_code,item_code,name,source,charge_rows,charge_sum,debt_source_default,block_remote_order_default,block_remote_issue_default,block_phone_access_order_default,operator_review_default,operator_decision,operator_note
BARRIER_PHONE_CONNECT,01_BarrierPhoneConnect,Подключение / повторное подключение телефонного доступа,service_items,,,YES,YES,YES,YES,YES,,
BARRIER_REPAIR,01_BarrierRepair,Ремонт шлагбаума — сбор 01,service_items,,,YES,YES,YES,YES,YES,,
HISTORICAL_UNCLASSIFIED,HIST_05_26_Unclassified,Исторические нераспределённые операции — 2026-05,service_items,,,NO,NO,NO,NO,NO,,
HISTORICAL_UNCLASSIFIED,HIST_06_26_Unclassified,Исторические нераспределённые операции — 2026-06,service_items,,,NO,NO,NO,NO,NO,,
IMPROVEMENT,01_Imp,Благоустройство — сбор 01,service_items,,,NO,NO,NO,NO,NO,,
PARKING_DAY,,PARKING_DAY,charges,34,13600.0,YES,NO,NO,NO,NO,,
PARKING_DAY,05_26_Day,Парковка Day — 2026-05,service_items,,,YES,NO,NO,NO,NO,,
PARKING_DAY,06_26_Day,Парковка Day — 2026-06,service_items,,,YES,NO,NO,NO,NO,,
PARKING_DAY,07_26_Day,Парковка Day — 2026-07,service_items,,,YES,NO,NO,NO,NO,,
PARKING_NIGHT,,PARKING_NIGHT,charges,61,61000.0,YES,NO,NO,NO,NO,,
PARKING_NIGHT,04_26_Night,Парковка Night — 2026-04,service_items,,,YES,NO,NO,NO,NO,,
PARKING_NIGHT,05_26_Night,Парковка Night — 2026-05,service_items,,,YES,NO,NO,NO,NO,,
PARKING_NIGHT,06_26_Night,Парковка Night — 2026-06,service_items,,,YES,NO,NO,NO,NO,,
TEST_PHONE_ACCESS_CONNECT,TEST_PHONE_ACCESS_CONNECT,ТЕСТ — подключение телефонного доступа,service_items,,,YES,YES,YES,YES,YES,,
TEST_REMOTE_NEW,TEST_REMOTE_NEW,ТЕСТ — новый пульт,service_items,,,NO,YES,YES,NO,YES,,
TEST_REMOTE_REFURBISHED,TEST_REMOTE_REFURBISHED,ТЕСТ — восстановленный пульт,service_items,,,NO,YES,YES,NO,YES,,
TEST_REMOTE_REPROGRAM_OWN,TEST_REMOTE_REPROGRAM_OWN,ТЕСТ — перепрошивка собственного пульта,service_items,,,NO,YES,YES,NO,YES,,
